#Columns: article key	in degree in context age-tapered	in degree in context	in degree out of context	in degree out of context age tapered	tf-idf score (-1.0 if it is the article itself)	title	year	"cited by article (1 if cited, 0 if not, -1 if article itself)"	"included in who to call (1 if included, 0 if not)"	author number																																																																																																																																																																																																																																																																																																																																														
431728	0.03125	1	72.34375	2315	0	SELF-CONSISTENT MOLECULAR-ORBITAL METHODS .25. SUPPLEMENTARY FUNCTIONS FOR GAUSSIAN-BASIS SETS	1984	0	0		3	"BINKLEY, JS"		binkley_js		1	"FRISCH, MJ"		frisch_mj		2	"POPLE, JA"		pople_ja																																																																																																																																																																																																																																																																																																																																
433398	0.03125	1	1	32	0	DIFFUSION OF RADON THROUGH SOILS - A PORE DISTRIBUTION MODEL	1984	0	0		3	"GEE, GW"		gee_gw		1	"NIELSON, KK"		nielson_kk		2	"ROGERS, VC"		rogers_vc																																																																																																																																																																																																																																																																																																																																
433881	0.0625	2	0.6875	22	0	TREE-RING ANALYSIS BY PIXE FOR A HISTORICAL RECORD OF SOIL CHEMISTRY RESPONSE TO ACIDIC AIR-POLLUTION	1984	0	0		2	"KAUFMANN, HC"		kaufmann_hc		1	"LEGGE, AH"		legge_ah		3	"WINCHESTER, JW"		winchester_jw																																																																																																																																																																																																																																																																																																																																
435318	0.0625	2	2.4375	78	0	"POSSIBLE CLIMATIC IMPACTS OF LAND COVER TRANSFORMATIONS, WITH PARTICULAR EMPHASIS ON TROPICAL DEFORESTATION"	1984	0	0		2	"GORNITZ, V"		gornitz_v		1	"HENDERSON-SELLERS, A"		hendersonsellers_a																																																																																																																																																																																																																																																																																																																																					
437820	0.03125	1	3.5625	114	0	PERFORMANCE OF CATALYTICALLY CONDENSED CARBON FOR USE IN ACCELERATOR MASS-SPECTROMETRY	1984	0	0		4	"BROWN, TA"		brown_ta		3	"NELSON, DE"		nelson_de		2	"SOUTHON, JR"		southon_jr		1	"VOGEL, JS"		vogel_js																																																																																																																																																																																																																																																																																																																											
439859	0.161290323	5	5.129032258	159	0	TROPOSPHERIC CHEMICAL-COMPOSITION MEASUREMENTS IN BRAZIL DURING THE DRY SEASON	1985	0	0		1	"CRUTZEN, PJ"		crutzen_pj		2	"DELANY, AC"		delany_ac		3	"GREENBERG, J"		greenberg_j		4	"HAAGENSON, P"		haagenson_p		5	"HEIDT, L"		heidt_l		6	"LUEB, R"		lueb_r		7	"POLLOCK, W"		pollock_w		8	"SEILER, W"		seiler_w		9	"WARTBURG, A"		wartburg_a		10	"ZIMMERMAN, P"		zimmerman_p																																																																																																																																																																																																																																																																																													
440939	0.225806452	7	7.935483871	246	0	A GLOBAL ARCHIVE OF LAND COVER AND SOILS DATA FOR USE IN GENERAL-CIRCULATION CLIMATE MODELS	1985	0	0		2	"HENDERSON-SELLERS, A"		hendersonsellers_a		1	"WILSON, MF"		wilson_mf																																																																																																																																																																																																																																																																																																																																					
445948	0.032258065	1	1.193548387	37	0	MEASUREMENTS OF SELECTED C2-C5 HYDROCARBONS IN THE BACKGROUND TROPOSPHERE - VERTICAL AND LATITUDINAL VARIATIONS	1985	0	0		1	"EHHALT, DH"		ehhalt_dh		3	"MEIXNER, F"		meixner_f		2	"RUDOLPH, J"		rudolph_j		4	"SCHMIDT, U"		schmidt_u																																																																																																																																																																																																																																																																																																																											
446014	0.161290323	5	11.67741935	362	0	"TROPOSPHERIC OZONE - SEASONAL BEHAVIOR, TRENDS, AND ANTHROPOGENIC INFLUENCE"	1985	0	0		1	"LOGAN, JA"		logan_ja																																																																																																																																																																																																																																																																																																																																										
446019	0.096774194	3	1.870967742	58	0	"SEASONAL AMPLITUDE INCREASE IN ATMOSPHERIC CO2 CONCENTRATION AT MAUNA LOA, HAWAII, 1959-1982"	1985	0	0		1	"BACASTOW, RB"		bacastow_rb		2	"KEELING, CD"		keeling_cd		3	"WHORF, TP"		whorf_tp																																																																																																																																																																																																																																																																																																																																
448129	0.096774194	3	0.322580645	10	0	ON THE RISE - METHANE IN THE GLOBAL ATMOSPHERE	1985	0	0		1	"EHHALT, DH"		ehhalt_dh																																																																																																																																																																																																																																																																																																																																										
448999	0.033333333	1	1.8	54	0	Effects of carbon dioxide enrichment and nitrogen supply on growth of boreal tree seedlings	1986	0	0		1	"Brown, K"		brown_k	Brown	2	"Higginbotham, KO"		higginbotham_ko	Higginbotham																																																																																																																																																																																																																																																																																																																																				
449237	0.033333333	1	1.666666667	50	0	HYDROGEN-ATOM ABSTRACTION FROM ALKANES BY OH .2. ETHANE	1986	0	0		2	"DROEGE, AT"		droege_at		3	"KOSZYKOWSKI, ML"		koszykowski_ml		4	"MELIUS, CF"		melius_cf		1	"TULLY, FP"		tully_fp																																																																																																																																																																																																																																																																																																																											
449768	0.033333333	1	0.3	9	0	ON THE CONSEQUENCE OF A TROPOSPHERIC CH4 INCREASE TO THE EXOSPHERIC DENSITY	1986	0	0		1	"EHHALT, DH"		ehhalt_dh																																																																																																																																																																																																																																																																																																																																										
454196	0.033333333	1	0.433333333	13	0	URBAN ATMOSPHERIC (CO)-C-14 AND (CH4)-C-14 MEASUREMENTS BY ACCELERATOR MASS-SPECTROMETRY	1986	0	0		2	"CURRIE, LA"		currie_la		3	"DONAHUE, DJ"		donahue_dj		4	"JULL, AJT"		jull_ajt		1	"KLOUDA, GA"		klouda_ga		5	"NAYLOR, MH"		naylor_mh																																																																																																																																																																																																																																																																																																																						
457536	0.033333333	1	1.2	36	0	PROBLEMS CONNECTED WITH THE ANALYSIS OF HALOCARBONS AND HYDROCARBONS IN THE NONURBAN ATMOSPHERE	1986	0	0		2	"JOHNEN, FJ"		johnen_fj		3	"KHEDIM, A"		khedim_a		1	"RUDOLPH, J"		rudolph_j																																																																																																																																																																																																																																																																																																																																
459074	0.033333333	1	0.233333333	7	0	EXPERIMENTAL-DETERMINATION OF DIFFUSION PARAMETERS FOR LIGHT-HYDROCARBONS IN WATER-SATURATED ROCKS - SOME SELECTED RESULTS	1986	0	0		1	"KROOSS, B"		krooss_b		2	"LEYTHAEUSER, D"		leythaeuser_d		3	"SCHAEFER, RG"		schaefer_rg																																																																																																																																																																																																																																																																																																																																
459177	0.033333333	1	4.3	129	0	STRUCTURAL FEATURES OF CELL-WALL POLYSACCHARIDES OF ONION ALLIUM-CEPA	1986	0	0		1	"REDGWELL, RJ"		redgwell_rj		2	"SELVENDRAN, RR"		selvendran_rr																																																																																																																																																																																																																																																																																																																																					
465467	0.034482759	1	3.137931034	91	0	SENSITIVITY OF THE BIOSPHERE ATMOSPHERE TRANSFER SCHEME (BATS) TO THE INCLUSION OF VARIABLE SOIL CHARACTERISTICS	1987	0	0		3	"DICKINSON, RE"		dickinson_re		2	"HENDERSON-SELLERS, A"		hendersonsellers_a		4	"KENNEDY, PJ"		kennedy_pj		1	"WILSON, MF"		wilson_mf																																																																																																																																																																																																																																																																																																																											
467833	0.034482759	1	1.379310345	40	0	INVESTIGATION OF THE SENSITIVITY OF THE LAND SURFACE PARAMETERIZATION OF THE NCAR COMMUNITY CLIMATE MODEL IN REGIONS OF TUNDRA VEGETATION	1987	0	0		3	"DICKINSON, RE"		dickinson_re		2	"HENDERSON-SELLERS, A"		hendersonsellers_a		4	"KENNEDY, PJ"		kennedy_pj		1	"WILSON, MF"		wilson_mf																																																																																																																																																																																																																																																																																																																											
468159	0.172413793	5	4.206896552	122	0	CLIMATE-CHEMICAL INTERACTIONS AND EFFECTS OF CHANGING ATMOSPHERIC TRACE GASES	1987	0	0		2	"CALLIS, L"		callis_l		3	"CESS, R"		cess_r		4	"HANSEN, J"		hansen_j		5	"ISAKSEN, I"		isaksen_i		6	"KUHN, W"		kuhn_w		7	"LACIS, A"		lacis_a		8	"LUTHER, F"		luther_f		9	"MAHLMAN, J"		mahlman_j		1	"RAMANATHAN, V"		ramanathan_v		10	"RECK, R"		reck_r		11	"SCHLESINGER, M"		schlesinger_m																																																																																																																																																																																																																																																																																								
469976	0.034482759	1	0.448275862	13	0	EVALUATION OF SATELLITE DERIVED LAND COVER CHARACTERISTICS FOR GLOBAL CLIMATE MODELING	1987	0	0		2	"HENDERSON-SELLERS, A"		hendersonsellers_a		1	"THOMAS, G"		thomas_g																																																																																																																																																																																																																																																																																																																																					
470099	0.034482759	1	66.4137931	1926	0	QUADRATIC CONFIGURATION-INTERACTION - A GENERAL TECHNIQUE FOR DETERMINING ELECTRON CORRELATION ENERGIES	1987	0	0		2	"HEADGORDON, M"		headgordon_m_0		1	"POPLE, JA"		pople_ja		3	"RAGHAVACHARI, K"		raghavachari_k_0																																																																																																																																																																																																																																																																																																																																
470909	0.137931034	4	2.206896552	64	0	MECHANISMS AND OBSERVATIONS FOR ISOTOPE FRACTIONATION OF MOLECULAR-SPECIES IN PLANETARY-ATMOSPHERES	1987	0	0		1	"KAYE, JA"		kaye_ja																																																																																																																																																																																																																																																																																																																																										
472769	0.035714286	1	1.857142857	52	0	Quaternary landscape ecology: Relevant scales in space and time	1988	0	0		1	"Delcourt, HR"		delcourt_hr	Delcourt	2	"Delcourt, PA"		delcourt_pa	Delcourt																																																																																																																																																																																																																																																																																																																																				
474396	0.035714286	1	0.321428571	9	0	THE MOVEMENT OF HYDROCARBONS IN SHALES	1988	0	0		2	"LEYTHAEUSER, D"		leythaeuser_d		1	"MACKENZIE, AS"		mackenzie_as		3	"MULLER, P"		muller_p		4	"QUIGLEY, TM"		quigley_tm		5	"RADKE, M"		radke_m																																																																																																																																																																																																																																																																																																																						
475649	0.035714286	1	2.678571429	75	0	COMPOSITION AND SOURCES OF AEROSOLS FROM THE AMAZON BASIN	1988	0	0		1	"ARTAXO, P"		artaxo_p		3	"BRUYNSEELS, F"		bruynseels_f		5	"MAENHAUT, W"		maenhaut_w		2	"STORMS, H"		storms_h		4	"VANGRIEKEN, R"		vangrieken_r																																																																																																																																																																																																																																																																																																																						
475736	0.071428571	2	0.535714286	15	0	HYDROTHERMAL CH4 BETWEEN 12-DEGREES-N AND 15-DEGREES-N OVER THE MID-ATLANTIC RIDGE	1988	0	0		3	"BOUGAULT, H"		bougault_h		1	"CHARLOU, JL"		charlou_jl		2	"DMITRIEV, L"		dmitriev_l		4	"NEEDHAM, HD"		needham_hd																																																																																																																																																																																																																																																																																																																											
475985	0.035714286	1	0.857142857	24	0	EFFECT OF LINE MIXING ON ATMOSPHERIC BRIGHTNESS TEMPERATURES NEAR 15-MU-M	1988	0	0		2	"REUTER, D"		reuter_d		1	"STROW, LL"		strow_ll																																																																																																																																																																																																																																																																																																																																					
476046	0.035714286	1	2.321428571	65	0	"AN ISOTOPIC STUDY OF A FLUVIAL LACUSTRINE SEQUENCE - THE PLIO-PLEISTOCENE KOOBI FORA SEQUENCE, EAST-AFRICA"	1988	0	0		2	"BOWMAN, JR"		bowman_jr		1	"CERLING, TE"		cerling_te		3	"ONEIL, JR"		oneil_jr																																																																																																																																																																																																																																																																																																																																
476089	0.214285714	6	7.892857143	221	0	EVALUATION OF THE MONTSOURIS SERIES OF OZONE MEASUREMENTS MADE IN THE 19TH-CENTURY	1988	0	0		2	"KLEY, D"		kley_d		1	"VOLZ, A"		volz_a																																																																																																																																																																																																																																																																																																																																					
477956	0.035714286	1	1.928571429	54	0	THE NEGATIVE-ION STATES OF SULFUR-HEXAFLUORIDE	1988	0	0		4	"BATTEN, CF"		batten_cf		1	"CHEN, ECM"		chen_ecm		3	"DSA, ED"		dsa_ed		2	"SHUIE, LR"		shuie_lr		5	"WENTWORTH, WE"		wentworth_we																																																																																																																																																																																																																																																																																																																						
478704	0.214285714	6	8.892857143	249	0	MODELING TROPICAL DEFORESTATION - A STUDY OF GCM LAND SURFACE PARAMETRIZATIONS	1988	0	0		1	"DICKINSON, RE"		dickinson_re		2	"HENDERSON-SELLERS, A"		hendersonsellers_a																																																																																																																																																																																																																																																																																																																																					
480120	0.071428571	2	28.5	798	0	NUMERICALLY STABLE ALGORITHM FOR DISCRETE-ORDINATE-METHOD RADIATIVE-TRANSFER IN MULTIPLE-SCATTERING AND EMITTING LAYERED MEDIA	1988	0	0		4	"JAYAWEERA, K"		jayaweera_k		1	"STAMNES, K"		stamnes_k		2	"TSAY, SC"		tsay_sc		3	"WISCOMBE, W"		wiscombe_w																																																																																																																																																																																																																																																																																																																											
480774	0.035714286	1	1.642857143	46	0	TWO-DIMENSIONAL DISTRIBUTION OF LIGHT-HYDROCARBONS - RESULTS FROM THE STRATOZ-III EXPERIMENT	1988	0	0		1	"RUDOLPH, J"		rudolph_j																																																																																																																																																																																																																																																																																																																																										
481293	0.035714286	1	3.714285714	104	0	PROKARYOTIC HOPANOIDS - THE BIOSYNTHESIS OF THE BACTERIOHOPANE SKELETON - FORMATION OF ISOPRENIC UNITS FROM 2 DISTINCT ACETATE POOLS AND A NOVEL TYPE OF CARBON CARBON LINKAGE BETWEEN A TRITERPENE AND D-RIBOSE	1988	0	0		1	"FLESCH, G"		flesch_g		2	"ROHMER, M"		rohmer_m																																																																																																																																																																																																																																																																																																																																					
481736	0.035714286	1	0.428571429	12	0	ADVANCES IN MICRORADIOCARBON DATING AND THE DIRECT TRACING OF ENVIRONMENTAL CARBON	1988	0	0		2	"CURRIE, LA"		currie_la		4	"EINFELD, W"		einfeld_w		1	"KLOUDA, GA"		klouda_ga		3	"VERKOUTEREN, RM"		verkouteren_rm		5	"ZAK, BD"		zak_bd																																																																																																																																																																																																																																																																																																																						
484842	0.035714286	1	2.357142857	66	0	MEASUREMENTS OF NITRIC-OXIDE BETWEEN 0-12 KM ALTITUDE AND 67-DEGREES-N TO 60-DEGREES-S LATITUDE OBTAINED DURING STRATOZ-III	1988	0	0		1	"DRUMMOND, JW"		drummond_jw		2	"EHHALT, DH"		ehhalt_dh		3	"VOLZ, A"		volz_a																																																																																																																																																																																																																																																																																																																																
